Class;Value;Class_start;Class_end;
1;223;1.134999990463;1.139365178326;
2;0;1.139365178326;1.143730366189;
3;0;1.143730366189;1.148095554052;
4;0;1.148095554052;1.152460741915;
5;0;1.152460741915;1.156825929778;
6;0;1.156825929778;1.161191117641;
7;0;1.161191117641;1.165556305504;
8;0;1.165556305504;1.169921493368;
9;0;1.169921493368;1.174286681231;
10;0;1.174286681231;1.178651869094;
11;0;1.178651869094;1.183017056957;
12;0;1.183017056957;1.187382244820;
13;0;1.187382244820;1.191747432683;
14;0;1.191747432683;1.196112620546;
15;0;1.196112620546;1.200477808409;
16;0;1.200477808409;1.204842996272;
17;0;1.204842996272;1.209208184135;
18;0;1.209208184135;1.213573371998;
19;0;1.213573371998;1.217938559861;
20;0;1.217938559861;1.222303747724;
21;0;1.222303747724;1.226668935587;
22;0;1.226668935587;1.231034123450;
23;0;1.231034123450;1.235399311313;
24;0;1.235399311313;1.239764499176;
25;0;1.239764499176;1.244129687039;
26;0;1.244129687039;1.248494874902;
27;0;1.248494874902;1.252860062765;
28;112;1.252860062765;1.257225250628;
29;0;1.257225250628;1.261590438491;
30;0;1.261590438491;1.265955626354;
31;0;1.265955626354;1.270320814217;
32;0;1.270320814217;1.274686002080;
33;0;1.274686002080;1.279051189943;
34;0;1.279051189943;1.283416377806;
35;0;1.283416377806;1.287781565669;
36;0;1.287781565669;1.292146753532;
37;0;1.292146753532;1.296511941396;
38;0;1.296511941396;1.300877129259;
39;0;1.300877129259;1.305242317122;
40;105;1.305242317122;1.309607504985;
41;0;1.309607504985;1.313972692848;
42;0;1.313972692848;1.318337880711;
43;0;1.318337880711;1.322703068574;
44;337;1.322703068574;1.327068256437;
45;0;1.327068256437;1.331433444300;
46;0;1.331433444300;1.335798632163;
47;153;1.335798632163;1.340163820026;
48;245;1.340163820026;1.344529007889;
49;241;1.344529007889;1.348894195752;
50;0;1.348894195752;1.353259383615;
51;0;1.353259383615;1.357624571478;
52;0;1.357624571478;1.361989759341;
53;357;1.361989759341;1.366354947204;
54;101;1.366354947204;1.370720135067;
55;0;1.370720135067;1.375085322930;
56;0;1.375085322930;1.379450510793;
57;0;1.379450510793;1.383815698656;
58;226;1.383815698656;1.388180886519;
59;0;1.388180886519;1.392546074382;
60;233;1.392546074382;1.396911262245;
61;0;1.396911262245;1.401276450108;
62;269;1.401276450108;1.405641637971;
63;0;1.405641637971;1.410006825834;
64;0;1.410006825834;1.414372013697;
65;111;1.414372013697;1.418737201560;
66;251;1.418737201560;1.423102389424;
67;0;1.423102389424;1.427467577287;
68;0;1.427467577287;1.431832765150;
69;136;1.431832765150;1.436197953013;
70;0;1.436197953013;1.440563140876;
71;108;1.440563140876;1.444928328739;
72;116;1.444928328739;1.449293516602;
73;0;1.449293516602;1.453658704465;
74;0;1.453658704465;1.458023892328;
75;0;1.458023892328;1.462389080191;
76;0;1.462389080191;1.466754268054;
77;0;1.466754268054;1.471119455917;
78;132;1.471119455917;1.475484643780;
79;0;1.475484643780;1.479849831643;
80;212;1.479849831643;1.484215019506;
81;0;1.484215019506;1.488580207369;
82;126;1.488580207369;1.492945395232;
83;214;1.492945395232;1.497310583095;
84;108;1.497310583095;1.501675770958;
85;125;1.501675770958;1.506040958821;
86;108;1.506040958821;1.510406146684;
87;126;1.510406146684;1.514771334547;
88;132;1.514771334547;1.519136522410;
89;111;1.519136522410;1.523501710273;
90;459;1.523501710273;1.527866898136;
91;428;1.527866898136;1.532232085999;
92;102;1.532232085999;1.536597273862;
93;0;1.536597273862;1.540962461725;
94;138;1.540962461725;1.545327649588;
95;0;1.545327649588;1.549692837452;
96;0;1.549692837452;1.554058025315;
97;102;1.554058025315;1.558423213178;
98;116;1.558423213178;1.562788401041;
99;178;1.562788401041;1.567153588904;
100;340;1.567153588904;1.571518776767;
101;562;1.571518776767;1.575883964630;
102;162;1.575883964630;1.580249152493;
103;115;1.580249152493;1.584614340356;
104;585;1.584614340356;1.588979528219;
105;233;1.588979528219;1.593344716082;
106;126;1.593344716082;1.597709903945;
107;308;1.597709903945;1.602075091808;
108;135;1.602075091808;1.606440279671;
109;115;1.606440279671;1.610805467534;
110;770;1.610805467534;1.615170655397;
111;285;1.615170655397;1.619535843260;
112;398;1.619535843260;1.623901031123;
113;0;1.623901031123;1.628266218986;
114;129;1.628266218986;1.632631406849;
115;258;1.632631406849;1.636996594712;
116;118;1.636996594712;1.641361782575;
117;0;1.641361782575;1.645726970438;
118;116;1.645726970438;1.650092158301;
119;111;1.650092158301;1.654457346164;
120;189;1.654457346164;1.658822534027;
121;265;1.658822534027;1.663187721890;
122;626;1.663187721890;1.667552909753;
123;171;1.667552909753;1.671918097616;
124;115;1.671918097616;1.676283285479;
125;362;1.676283285479;1.680648473343;
126;104;1.680648473343;1.685013661206;
127;162;1.685013661206;1.689378849069;
128;138;1.689378849069;1.693744036932;
129;582;1.693744036932;1.698109224795;
130;0;1.698109224795;1.702474412658;
131;774;1.702474412658;1.706839600521;
